;name;category;level;description;input;output;has_images;s_level;submissions;solved;ratio
1289;What is the Probability?;Mathematics;6;"Probability has always been an integrated part of computer algorithms. Where the deterministic algorithms have failed to solve a problem in short time, probabilistic algorithms have come to the rescue. In this problem we are not dealing with any probabilistic algorithm. We will just try to determine the winning probability of a certain player.
                
                    ​A game is played by throwing a dice like thing (it should not be assumed that it has six sides like an ordinary dice). If a certain event occurs when a player throws the dice (such as getting a 3, getting green side on top or whatever) he is declared the winner. There can be N such player. So the first player will throw the dice, then the second and at last the N th player and again the first player and so on. When a player gets the desired event he or she is declared winner and playing stops. You will have to determine the winning probability of one (The I th) of these players.";Input will contain an integer S (S ≤ 1000), at first, which indicates how many sets of inputs are there. The next S lines will contain S sets of inputs. Each line contain an integer N (N ≤ 1000) which denotes the number players, a floating point number p which indicates the probability of the happening of a successful event in a single throw (If success means getting 3 then p is the probability of getting 3 in a single throw. For a normal dice the probability of getting 3 is 1/6), and I (I ≤ N) the serial of the player whose winning probability is to be determined (Serial no varies from 1 to N). You can assume that no invalid probability (p) value will be given as input.;For each set of input, output in a single line the probability of the I th player to win. The output floating point number will always have four digits after the decimal point as shown in the sample output.;False;6 / 10;782;324;41.43%
1290;Very Special Boxes;Ad-Hoc;8;"Special Box Company (SBC) is a small family-owned and family-run business which produces decorated carton boxes for wrapping gifts. The boxes are hand-made, produced individually from ﬁne materials. When accepting an order from a client, they always produce a few more boxes than needed, to keep a stock of boxes to be sold in the future, if needed. Over the years their stock has been growing, with boxes all over the place, and they decided they needed to organize it a bit more. They have therefore made a list registering the dimensions of every box in their stock.
                
                    SBC has just received an order from a client that must be delivered tomorrow, so there is no time to produce new boxes. The client wants a certain number N of boxes all of the same size; each box will be used to pack one item of dimensions X, Y and Z. As the carton used in the
                    boxes is very thin, you may assume that a box of size (X, Y, Z) would ﬁt perfectly the item the client wants to wrap. If there are not at least N boxes that ﬁt perfectly, the client wants N boxes that ﬁt the items as tightly as possible. The box size that ﬁts the items as tightly as possible is the one which minimizes the empty space when the item is put inside the box. An item can be rotated in any direction to be accomodated inside a box; therefore, a box of size (X, Y, Z) is as good as a box of size (Y, Z, X), for example. 
                
                    Can you help SBC ﬁnding whether they can fulﬁll the customer order?";The input consists of several test cases. The ﬁrst line of a test case contains two integers N and M, indicating respectively the number of boxes the client needs to buy (1 ≤ N ≤ 1500) and the number of boxes in the stock list (1 ≤ M ≤ 1500). The second line contains three integers X, Y and Z, representing the dimensions of the item the client wants to wrap (0 < X, Y, Z ≤ 50). Each of the next M lines contains three integers A, B and C representing the dimensions of a box in the stock list (0 < A, B, C ≤ 50). A test case with N = 0 indicates the end of the input.;"For each test case in the input your program must produce one line, containing either: 

                
                    the single word ‘impossible’, in case it is not possible to fulﬁll the client’s order (because there are not at least N boxes of the same size in stock that can contain the item); or
                    one integer V , which speciﬁes the volume of empty space left when one of the N items is packed in one of the boxes chosen.";False;8 / 10;923;213;23.08%
1291;Is This Integration?;Computational Geometry;4;"In the image below you can see a square ABCD, where AB = BC = CD = DA = a. Four arcs are drawn taking the four vertexes A, B, C, D as centers and a as the radius. The arc that is drawn taking A as center, starts at neighboring vertex B and ends at neighboring vertex D. All other arcs are drawn in a similar fashion. Regions of three different shapes are created in this fashion. You will have to determine the total area if these different shaped regions.

                ​";The input file contains a floating-point number a (0 ≤ a ≤ 10000) in each line which indicates the length of one side of the square. Input is terminated by end of file.;For each line of input, output in a single line the total area of the three types of region (filled with different patterns in the image above). These three numbers will of course be floating point numbers with three digits after the decimal point. First number will denote the area of the striped region, the second number will denote the total area of the dotted regions and the third number will denote the area of the rest of the regions.;True;4 / 10;1187;578;48.69%
1292;Trouble with a Pentagon;Computational Geometry;3;"You are asked to place the largest possible square inside a regular pentagon (whose internal angles are same and all the sides are same in length). You are given the information that one vertex of the square will be coincident with a vertex of the square as shown in the figure below. You will have to find the length of a side of the square when a side of the regular pentagon is given. 

                
                    
                    ​Fig: Square in a pentagon.";The input file contains several lines of input. Each line contains a floating point number F (0 ≤ F ≤ 100000) which indicates the length of a side of the pentagon. Input is terminated by end of file.;For each line of input produce one line of output containing a floating point number with ten digits after the decimal point. This number indicates the largest possible side of a square that fits in the pentagon.;True;3 / 10;1853;1135;61.25%
1293;Romeo & Juliet!;Computational Geometry;6;"In this problem we will discuss the problems of a modern Romeo and a modern Juliet. You are asked to solve their problems so that they don’t have to be a tragic pair like that of Shakespeare’s. As usual the family of Romeo and Juliet have hostile relationships and so they are locked up in two different places M and N. Two cannons are placed in location A and two cannons are placed in location B. One cannon of location A is aimed towards M and the other aimed towards N. The same thing applies to the two cannons of location B. The M and N are always on the opposite side of AB.

                ​Fig: Partial Scenario of Romeo & Juliet

                
                    The movements of the cannons, which are aimed at M, are interrelated; the angle between their directions is constant. So angle CMD ((5 degree) ≤ (angle CMD) < (80 degree)) is constant. Same rule applies to the other two cannons. That’s angle ENF ((5 degree) ≤ (angle ENF) < (80 degree)) is also constant. All these things are shown in the picture above. But another important thing is missing in the figure above is that the locations N, A, M are always kept in a straight line. The reason behind this is very strange. A robot has been hired to guard Romeo and Juliet. It has two eyes at the opposite sides of its head and this robot is positioned in point A. To be precise, A, B and angle CMD and angle ENF are constants in one scenario and all other positions or values are variable. Also remember that point M must always remain pointed by the two cannons. Same thing applies to point N.
                
                    The problem is that in starry nights Mr. Romeo sings the song “Blue Nights” of “Michael Learns to Rock” in a loud voice and both parents don’t want Ms. Juliet to hear this song. So they want to place the houses (M and N) as far as possible preserving all the constraints explained before. Your job is to measure this maximum distance between M and N and inform it to Romeo, so that he can decide whether he should sing or not or what should be his voice level.";The input file contains several lines of input. Each line contains six floating-point numbers, x1, y1, x2, and y2 (0 ≤ x1, y1, x2, y2 ≤10000) CMD, ENF. Here (x1, y1) is the coordinate of A, (x2, y2) is the coordinate of B, CMD is the angle between the directions of cannons pointed towards M and ENF is the similar value for point N. Input is terminated by end-of-file.;For each line of input you should produce one line of output, which contains a floating-point number F. F is the maximum possible distance between Romeo’s house and Juliet’s house and it has three digits after the decimal point.;True;6 / 10;130;76;58.46%
1294;The Largest and Smallest Box;Computational Geometry;5;"In the following figure you can see a rectangular card. The width of the card is W and length of the card is L and thickness is zero. Four (x*x) squares are cut from the four corners of the card shown by the black dotted lines. Then the card is folded along the magenta lines to make a box without a cover.

                ​
                Fig: Cutting & Folding the Card. 

                Given the width and height of the box, you will have to find the value of x for which the box has maximum and minimum volume.";"The input file contains several lines of input. Each line contains two positive floating-point numbers L (0 < L < 10000) and W (0 < W < 10000); which indicate the length and width of the card respectively.";For each line of input you should give one line of output, which should contain two or more floating-point numbers separated by a single space. The floating-point numbers should contain three digits after the decimal point. The first floating point number indicates the value for which the volume of the box is maximum and then the next values (sorted in ascending order) indicate the values for which the volume of the box is minimum.;True;5 / 10;1006;402;39.96%
1295;The Closest Pair Problem;Computational Geometry;8;Given a set of points in a two dimensional space, you will have to find the distance between the closest two points.;The input file contains several sets of input. Each set of input starts with an integer N (0 ≤ N ≤ 10000), which denotes the number of points in this set. The next N lines contain the coordinates of N two-dimensional points. The first of the two numbers denotes the X-coordinate and the latter denotes the Y-coordinate. The input is terminated by a set whose N = 0. This set should not be processed. The value of the coordinates will be less than 40000 and non-negative.;For each set of input produce a single line of output containing a floating point number (with four digits after the decimal point) which denotes the distance between the closest two points. If there is no such two points in the input whose distance is less than 10000, print the line INFINITY.;False;8 / 10;5603;1171;20.90%
1296;Medians;Computational Geometry;4;Given the length of three medians of a triangle you will have to find out the area of the triangle. Unless you are weak in geometry you should know that median of a triangle is formed by connecting any vertex of a triangle and the mid-point of its opposite edge. So a triangle has three medians.;The input file contains aproximately 1000 lines of input. Each line contains three numbers which denote the length of the medians of a triangle. All the values in the input will be less than 100. Input is terminated by end of file.;For each line of input you should produce one line of output. This line should contain the area of the triangle for the corresponding input. If it is not possible to form a triangle with the given medians, the area of the triangle should be set as -1. The areas should be rounded up to three digits after the decimal point.;False;4 / 10;1050;473;45.05%
1297;Environment Protection;Mathematics;9;"Arsenic & Cyanide Mining (ACM) is a corporation that has recently decided to start developing its mines in the lands near your hometown. As a member of the citizen's regulatory committee for ACM's operations, your task is to control how much the corporation can mine from those lands, so that you get to keep the jobs and other benefits without sacrificing the environment and the health of the local residents.
                
                    The ACM has plans to mine several rectangular patches of land. A patch of land has width W, can be dug up to a maximum depth D, and has a at surface which we consider to be at depth 0. The minerals in a patch are organized in three layers, which may vary in their depth along the width of the patch, but always have the same profile along its whole length. This is why the ACM is only interested in the profile along the width of each patch, and has performed exploratory work in order to precisely determine its shape.
                
                    ​As a result, they discovered that the two interfaces between the three layers of minerals can be represented by two functions y1(x) and y2(x), where the first describes the boundary between the top layer and the middle layer, and the second describes the boundary between the middle layer and the bottom layer. These functions are always such that
                
                -D < y2(x) < y1(x) < 0 for 0 ≤ x ≤ W ,
                
                
                    so that the layers' boundaries never touch each other. Besides, each function has the form yi(x) = pi(x)/qi(x), where

                ​
                
                
                    for i = 1; 2 and a certain integer K. The figure below shows the profiles of two patches of land in the way the ACM represents them. The patch on the left has width W = 6 and depth D = 9, while the patch on the right has W = 8 and D = 10. The boundaries of the layers of each patch are described by the functions defined below them.

                ​

                
                
                    The ACM will dig everything in a patch of land up to a certain digging depth d, and then sell all the minerals thus obtained to make a profit. However, the minerals in the top and the bottom layers are essentially worthless, so the profit of the whole operation comes exclusively from those minerals in the middle layer. In fact, the profit is proportional to the area A of the middle layer in the profile that is at depth at most d. Given the description of a patch of land and an integer A, you would like to know the digging depth d you should allow the ACM to dig the patch so that they get an area of minerals from the middle layer in the profile of exactly A. In the figure above you can see the answer for the two test cases in the sample input. For the patch on the left, in order to get an area A = 14 the digging depth must be d = 4.00000, while for the patch on the right an area A = 14 requires a digging depth d = 5.51389.";Each test case is described using 5 lines. The first line contains four integers W, D, A and K, where W is the width of the patch of land the ACM wants to mine (1 ≤ W ≤ 8), D is its depth (1 ≤ D ≤ 10), A is the area of the middle layer in the profile that the ACM must get (1 ≤ A ≤ W x D), and K allows the definition of the interfaces y1(x) and y2(x) as explained above (0 ≤ K ≤ 8). Each of the other lines contains K + 1 integers between -108 and 108, inclusive. The second line contains the coeffificients of p1(x) from P1,0 to P1,K. The third line contains the coeficients of q1(x) from Q1,0 to Q1,K. The fourth line contains the coeficients of p2(x) from P2,0 to P2,K. The fifth line contains the coeficients of q2(x) from Q2,0 to Q2,K. Within each test case A is strictly less than the total area of the middle layer in the profile, and there exists a single value d such that a digging depth d yields an area of minerals from the middle layer in the profile of exactly A. Besides, q1(x) 6= 0, q2(x) 6= 0 and -D < y2(x) < y1(x) < 0, for 0 ≤ x ≤ W.;For each test case output a line with a rational number representing the depth d that the ACM should be allowed to dig the patch of land so that they get an area of minerals from the middle layer in the profile of exactly A. The result must be output as a rational number with exactly five digits after the decimal point, rounded if necessary.;True;9 / 10;272;170;62.50%
1298;Fix the Maze;Graph;5;"A shrimp farm uses a rectangular pond built as a grid with 2N rows and 2N + 1 columns of square cells, for a given integer N. Each cell side is one meter long. The pond has exactly (2N- 1) x N barriers of length two meters, used to temporarily isolate smaller sections inside the pond for breeding different kinds of shrimp. The barriers have their middle points fixed precisely at the integer coordinates (a, b), for all 0 < a < 2N and 0 < b < 2N + 1, where both a and b are odd, or both are even. Each barrier can be rotated around its middle point to change the pond configuration; however, by being rotated, a barrier switches between only two possible positions, always parallel to the pond sides, vertical or horizontal. The left part of the figure below shows a pond configuration, with N = 3.
                     

                

                
                    
                    At the end of every season the pond is closed for maintenance and cleaning. It must then be reconfigured so that a special machine can sweep the pond floor. The machine starts its work at the top left cell, and needs to pass through every cell exactly once, finishing in the bottom left cell. The right part of the figure shows one such reconfiguration, where six barriers were switched. For this example, though, four barrier switches would have been enough.
                    
                    You must write a program that given a pond configuration, determines the minimum number of barrier switches needed to reconfigure the pond as specified above. There is always at least one possible way to reconfigure the pond as specified.";Each test case is described using several lines. The first line contains an integer N indicating that the pond has 2N rows and 2N + 1 columns ( 1 ≤ N ≤ 300). Each of the next 2N - 1 lines contains a string of N characters describing the orientation of the barriers. In the i-th line, the j-th character indicates the orientation of the barrier whose middle point is at coordinates (i, 2j - 1) if i is odd, or (i, 2j) if i is even, for i = 1, 2,..., 2N - 1 and j = 1, 2,..., N. The character is the uppercase letter 'V' if the orientation is vertical, or the uppercase letter 'H' if it is horizontal.;For each test case output a line with an integer representing the minimum number of barrier switches needed to reconfigure the pond as specified.;True;5 / 10;166;97;58.43%
1299;Game of Tiles;Paradigms;8;"The Game of Tiles is a game for two players played over a rectangular board in the form of a table of R rows and C columns of square cells called tiles. At the beginning of the game, some of the tiles may be painted black and the rest remain white. Then, Player 1 and Player 2 alternate turns making a move and the first one that cannot make a valid move loses the game. The first move of the game is done by Player 1 and consists of choosing a white tile and writing the number 1 on it. After that, each subsequent move i consists of writing number i on an unused white tile that is adjacent horizontally or vertically (but not diagonally) to the tile numbered i - 1. Note that Player 1 always writes odd numbers and Player 2 always writes even numbers.
                
                    The following figure shows three examples of possible configurations of a board with R = 3 and C = 4 during a game. On the left it shows the initial configuration. On the center it shows an intermediate state, where cells in gray mark the possible moves for Player 2. And on the right it shows the configuration when the game is won by Player 2, who chose the appropriate move.

                
                ​

                
                    Your task is to write a program that given the initial configuration of the board, determines which player will win, if both of them play optimally.​";Each test case is described using several lines. The first line contains two integers R and C representing respectively the number of rows and columns of the board ( 1 ≤ R, C ≤ 50). The i-th of the next R lines contains a string Bi of C characters that describes the i-th row of the initial board. The j-th character of Bi is either `.' (dot) or the uppercase letter 'X', representing that the tile at row i and column j is respectively white or black. Within each test case at least one of the tiles is white.;For each test case output a line with an integer representing the number of the player (1 or 2) who will win the game if both of them play optimally.;True;8 / 10;111;55;49.55%
1300;Hours and Minutes;Ad-Hoc;2;"​Heidi has a discrete analog clock in the shape of a circle, as the one in the figure. Two hands rotate around the center of the circle, indicating hours and minutes. The clock has 60 marks placed around its perimeter, with the distance between consecutive marks being constant.
                
                    The minute hand moves from its current mark to the next exactly once every minute. The hour hand moves from its current mark to the next exactly once every 12 minutes, so it advances five marks each hour.
                
                    We consider that both hands move discretely and instantly, which means they are always positioned exactly over one of the marks and never in between marks.
                
                    At midnight both hands reach simultaneously the top mark, which indicates zero hours and zero minutes. After exactly 12 hours or 720 minutes, both hands reach the same position again, and this process is repeated over and over again. Note that when the minute hand moves, the hour hand may not move; however, when the hour hand moves, the minute hand also moves.
                
                    Heidi likes geometry, and she likes to measure the minimum angle between the two hands of the clock at different times of the day. She has been writing some measures down, but after several years and a long list, she noticed that some angles were repeated while some others never appeared. For instance, Heidi's list indicates that both at three o'clock and at nine o'clock the minimum angle between the two hands is 90 degrees, while an angle of 65 degrees does not appear in the list. Heidi decided to check, for any integer number A between 0 and 180, if there exists at least one time of the day such that the minimum angle between the two hands of the clock is exactly A degrees. Help her with a program that answers this question.";Each test case is described using one line. The line contains an integer A ​(0 ≤ A ≤ 180) representing the angle to be checked.;For each test case output a line containing a character. If there exists at least one time of the day such that the minimum angle between the two hands of the clock is exactly A degrees, then write the uppercase letter 'Y'. Otherwise write the uppercase letter 'N'.;True;2 / 10;3508;2346;66.88%
1301;Interval Product;Data Structures and Libraries;6;"It's normal to feel worried and tense the day before a programming contest. To relax, you went out for a drink with some friends in a nearby pub. To keep your mind sharp for the next day, you decided to play the following game. To start, your friends will give you a sequence of N integers X1, X2,..., XN. Then, there will be K rounds; at each round, your friends will issue a command, which can be:
                
                    a change command, when your friends want to change one of the values in the sequence; or
                    a product command, when your friends give you two values I, J and ask you if the product XI x XI+1 x ... x XJ-1 x XJ is positive, negative or zero.
                
                
                    Since you are at a pub, it was decided that the penalty for a wrong answer is to drink a pint of beer. You are worried this could affect you negatively at the next day's contest, and you don't want to check if Ballmer's peak theory is correct. Fortunately, your friends gave you the right to use your notebook. Since you trust more your coding skills than your math, you decided to write a program to help you in the game.";Each test case is described using several lines. The first line contains two integers N and K, indicating respectively the number of elements in the sequence and the number of rounds of the game (1 ≤ N, K ≤ 105). The second line contains N inteiros Xi  that represent the initial values of the sequence (-100 ≤ Xi ≤ 100 for i = 1, 2, ..., N). Each of the next K lines describes a command and starts with an uppercase letter that is either 'C' or 'P'. If the letter is 'C', the line describes a change command, and the letter is followed by two integers I and V indicating that XI must receive the value V (1 ≤ I ≤ N e -100 ≤ V ≤ 100). If the letter is `P', the line describes a product command, and the letter is followed by two integers I and J indicating that the product from XI to XJ, inclusive must be calculated (1 ≤ I ≤ J ≤ N). Within each test case there is at least one product command.;"For each test case output a line with a string representing the result of all the product commands in the test case. The i-th character of the string represents the result of the i-th productcommand. If the result of the command is positive the character must be '+' (plus); if the result is negative the character must be '-' (minus); if the result is zero the character must be '0'.";False;6 / 10;3673;1207;32.86%
1302;Joining Couples;Graph;7;"Air traffic regulations in Nlogonia require that each city must register exactly one outbound flight to another city. Passengers can use this flight only in the direction registered, that is, there may be a flight registered from city X to city Y and no flight registered from city Y to city X. Thus, the number of registered flights is equal to the number of cities. This rule, as one can imagine, makes air travel somewhat complicated, but tradition and a strong ruling by the Queen makes any changes difficult. Besides, some companies even make a profit from the problems caused by the rule.
                    
                    The Association for Couple Matching (ACM) is setting up a new service to help customers find their long lasting soulmates: the Internet Connecting Program for Couples (ICPC). The service consists of computing the minimum total number of flights a couple needs to take to meet each other (perhaps in a city where neither of them lives in). Assuming the couple's starting cities are A and B, the agency will try to find a city C such that C is reachable by air travel from both A and B, and the sum of the number of flights needed to go from A to C and the number of flights needed to go from B to C is minimized. Note that C may be equal to A or B or both.
                    
                    It will be given to you the list of all available flights, and a list of queries consisting of pairs of cities where the members of a couple live. For each query, you must compute the minimum total number of flights that are needed for them to meet.";Each test case is described using several lines. The first line contains an integer N representing the number of cities ( 2 ≤ N ≤ 105). Cities are identified by different integers from 1 to N. The second line contains N integers Fi, where Fi indicates that the registered outbound flight from city i is to city Fi ( 1 ≤ Fi ≤ N, Fi = i for i = 1, 2,..., N). The third line contains an integer Q representing the number of queries ( 1 ≤ Q ≤ 105). Each of the next Q lines describes a query with two integers A and B indicating the couple's starting cities ( 1 ≤ A, B ≤ N). Within each test case, if it is possible to travel by air from city X to city Y, the maximum number of flights needed to do so is 104.;"For each test case output Q lines. In the i-th line write an integer with the answer to the i-th query. If the corresponding couple can meet by air travel, write the minimum total number of flights that the couple must take to meet one another; if it is impossible for the couple to meet by air travel, write the number '-1'.";False;7 / 10;452;174;38.50%
1303;Spurs Rocks;Data Structures and Libraries;8;"The San Antonio is the city team in the NBA. It has been the champion of its conference several times and revealed several excellent players.


    In a basketball championship all the teams play each other in a single round. A win is worth two points and a defeat is worth one point (there are no draws in basketball). In case of ties the team with the best ""average basket"" gets the lead. The ""average basket""is given by the ratio between the number of points scored by the team divided by the number of points received (in the unlikely event of a team winning all league games without losing any baskets, the basket average is given by the average number of points scored). If there is still a tie, the team that scored more points takes advantage. And if the ties persists, the team with the lowest number of entried in the league gets a better position.


    Your task in this problem is to make a program that receives the results of the games of the championship and prints the final rank.";There are several test cases. For each instance is given the number 0 ≤ n ≤ 100 of teams in the league. The value n = 0 indicates the end of dataset. Next there are n (n-1) / 2 lines indicating the results of the matches. In each one of these lines there are four integers x, y, z and w. The integers x and z belong to the interval {1, 2,. . . , n} and represent the registration numbers of the teams in the league. The integers y and w are the number of points the team x and z score in the match described.;"For each test case solved, you should print the message ""Instancia h"" where h is an integer, and increasing sequentially from 1. On the next line you should print a permutation of the integers from 1 to n representing the championship rank.
					
                        A blank space should be printed between each one of these integers and a blank line must be printed between two outputs (test cases).";False;8 / 10;5269;1054;20.00%
1304;Average Speed;Mathematics;6;"You have bought a car in order to drive from Waterloo to a big city. The odometer on their car is broken, so you cannot measure distance. But the speedometer and cruise control both work, so the car can maintain a constant speed which can be adjusted from time to time in response to speed limits, traffic jams, and border queues. You have a stopwatch and note the elapsed time every time the speed changes. From time to time you wonder, ""how far have I come?"". To solve this problem you must write a program to run on your laptop computer in the passenger seat.";Standard input contains several lines of input: Each speed change is indicated by a line specifying the elapsed time since the beginning of the trip (hh:mm:ss), followed by the new speed in km/h. Each query is indicated by a line containing the elapsed time. At the outset of the trip the car is stationary. Elapsed times are given in non-decreasing order and there is at most one speed change at any given time.;For each query in standard input, you should print a line giving the time and the distance travelled, in the format below, using the standard rounding.;False;6 / 10;2013;781;38.80%
1305;Cut Off Rounder;Strings;3;"Often, when we round a real valued number to an integer, we round up if the fractional part is 0.5 or greater, and down if the fractional part is less than 0.5. In this problem, you have to write a method round, which takes a real valued number as a String, num, and a cutoff as a String, cutoff. cutoff will be formatted exactly as ""0.####"", where each '#' represents a digit ('0'-'9'). At least one of the digits to the right of the decimal point in cutoff will be non-zero. Your task is to round num up if its fractional part is greater than cutoff, and down otherwise, and return the result as an int. To avoid issues with double imprecision, the fractional part of num will not be exactly equal to cutoff. Hence, the traditional rounding method described in the opening sentence would be represented by cutoff = ""0.5000"".";"The input contains several test cases. Each one is given in two lines. The num string is at the first line and the cutoff is at the second line. num will be a sequence of one or more digits ('0'-'9'), with an optional decimal point ('.'). num will contain between 1 and 10 characters, inclusive. cutoff will be formatted exactly as ""0.####"", where each '#' represents a digit ('0'-'9'). The fractional part of num will NOT be exactly equal to cutoff.  
                The input is terminatted by EOF.";Your program should output one line to each test case. This line contains only the integer part of num rounded up or down according to the given cutoff.;False;3 / 10;2692;1470;54.61%
1306;Numbering Roads;Mathematics;3;"In my country, streets don’t have names, each of them are just given a number as name. These numbers are supposed to be unique but that is not always the case. The local government allocates some integers to name the roads and in many cases the number of integers allocated is less that the total number of roads. In that case to make road names unique some single character suffixes are used. So roads are named as 1, 2, 3, 1A, 2B, 3C etc. Of course the number of suffixes is also always limited to 26 (A, B, …, Z). For example if there are 4 roads and 2 different integers are allocated for naming then some possible assignments of names can be:

            
                

                    
                        
                            
                                1, 2, 1A, 2B
                            
                        
                        
                            
                                1, 2, 1A, 2C
                            
                        
                        
                            
                                3, 4, 3A, 4A
                            
                        
                        
                            
                                1, 2, 1B, 1C
                            
                        
                    
                
            

            
                Given the number of roads (R) and the numbers of integers allocated for naming (N), your job is to determine the minimum number of different suffixes that will be required (of all possible namings) to name the streets assuming that two streets can't have the same names.";The input file can contain up to 10002 lines of inputs. Each line contains two integers R and N (R < 10001, 0 < N). Here R is the total number of streets to be named and N denotes the number of integers allocated for naming. The end of input is determined by '0 0' and must not be processed.;Each line of input produces one line of output. This line contains the serial of output followed by an integer D which denotes the minimum number of suffixes required to name the streets. If it is not possible to name all the streets print “impossible” instead (without the quotes).;True;3 / 10;2611;1276;48.87%
1307;All You Need Is Love;Mathematics;5;"""All you need is love. All you need is love.
                        All you need is love, love... love is all you need.""
                        The Beatles
                    
                
                    There was invented a new powerfull gadget by the International Beautifull Machines corporation called the love machine! Given a string made of binary digits, the love machine answers if it's made only of love, that is, if all you need is love to build that string. The definition of love for the love machine is another string of binary digits, given by a human operator. Let's say we have a string L which represents ""love"" and we give a string S for the love machine. We say that all you need is love to build S, if we can repeatly subtract L from S until we reach L. The subtraction defined here is the same arithmetic subtraction in base 2. By this definition it's easy to see that if L > S (in binary), then S is not made of love. If S = L then S is obvious made of love.
                
                    Let's see an example. Supose S = ""11011"" and L = ""11"". If we reapetly subtract L from S, we get: 11011, 11000, 10101, 10010, 1111, 1100, 1001, 110, 11. So, given this L, all you need is love to build S. Because of some limitations of the love machine, there can be no string with leading zeroes. That is, ""0010101"", ""01110101"", ""011111"" etc. are invalid strings. Strings which have only one digit are also invalid (it's another limitation).
                
                    ​Your task in this problem is: given two valid binary strings, S1 and S2, find if it's possible to have a valid string L such that both S1 and S2 can be made only of L (i.e. given two valid strings S1 and S2, find if there exists at least one valid string L such as both S1 and S2 are made only of L). For instance, for S1 = 11011 and S2 = 11000, we can have L = 11 such that S1 and S2 are both made only of L (as we can see in the example above).";The first line of input is a positive integer N (N < 10000) which stands for the number of teste cases. Then, 2*N lines will follow. Each pair of lines consists in one teste case. Each line of the pair stands for each string (S1 and S2) to be entered as an input for the love machine. No string will have less than 2 or more than 30 characters. You can assume that all strings in the input will be valid acording to the rules above.;"For each string pair, you must print one of the following messages:
                
                    Pair #p: All you need is love!
                    Pair #p: Love is not all you need!
                
                    ​Where p stands for the pair number (starting from 1). You should print the first message if there exists at least one valid string L such as both S1 and S2 can be made only of L. Otherwise, print the second line.";False;5 / 10;2738;1427;52.12%
1308;Etruscan Warriors Never Play Chess;Mathematics;4;"A troop of Etruscan warriors is organized as follows. In the first row, there is only one warrior; then, the second row contains two warriors; the third row contains three warriors, and so on. In general, each row i contains i warriors.
                
                    We know the number of Etruscan warriors of a given troop. You have to compute the number of rows in which they are organized.
                
                    Please note that there may be some remaining warriors (this could happen if they are not enough to form the next row). For example, 3 warriors are organized in 2 rows. With 6 warriors you can form 3 rows; but you can also form 3 rows with 7, 8 or 9 warriors.";The first line of the input contains an integer indicating the number of test cases. For each test case, there is a single integer N (0 ≤ N ≤ 1018), indicating the number of Etruscan warriors.;For each test case, the output should contain a single integer indicating the number of rows that can be formed.;False;4 / 10;4039;1505;37.26%
1309;Monetary Formatting;Mathematics;3;"Often it is necessary to write monetary amounts in a standard format. We decided formatting quantities in the following way:

                       1. The montande must begin with '$';
                       2. The number must end with a decimal point and exactly two digits following;
                       3. The digits to the left of the decimal point must separate in groups of three oir commas.
                
                    Your task in this problem is to create a program that, given two integer values ​​to dollars and cents return String formatted properly.";The input consists of several test cases. Each test case consists of two integers, dollars (0 ≤ dollars ≤ 2 * 109) and cents (0 ≤ cents ≤ 99), respectively.;For each test case print a string formatted according to the formatting rules.;False;3 / 10;3905;1819;46.58%
1310;Profit;Paradigms;2;"George owns a circus and brings his circus from town to town. He knows how much revenue he can take in on any day in a series of days in a town. He also knows the constant daily cost to run his circus. George wants to bring his circus to town for the series of days that results in the highest profit. 
                    For example, if the circus costs $20 a day to run in an example with 6 days, and the revenue per day is {$18,$35,$6,$80,$15,$21}, George can make the most money by bringing his circus to town from Day 2 to Day 4. He will make (35+6+80)-(3*20) = $61.
                
                    Note: The series of days George brings his circus to town can be between 0 and the maximun number of days, inclusive. -If George brings his circus to town for 0 days, he makes 0 profit.";The input contains many test cases. The first line of a teste case contains an integer N (1 ≤ N ≤ 50 ) that represents the number of days that George can bring his circus to the town. The second line of a test case contains an integer perDayCost (0 ≤ perDayCost < 1000 ) that represents the cost in manteining the circus in that town. Follow N lines (one per each day) containing each one an integer revenue (0 ≤ revenue < 1000 ) representing the revenue the circus will earn on each day. The end of input is indicated by EOF (end of file).;For each test case print the most money that George can earn by bringing his circus to town according to the following example.;False;2 / 10;5380;2750;51.12%
