;name;category;level;description;input;output;has_images;s_level;submissions;solved;ratio
1062;Trilhos;Estruturas e Bibliotecas;4;"Há uma famosa estação de trem na cidade PopPush. Esta cidade fica em um país incrivelmente acidentado e a estação foi criada no último século. Infelizmente os fundos eram extremamente limitados naquela época. Foi possível construir somente uma pista. Além disso, devido a problemas de espaço, foi feita uma pista apenas até a estação (veja figura abaixo).
	 

	

	A tradição local é que todos os comboios que chegam vindo da direção A continuam na direção B com os vagões  reorganizados, de alguma forma. Suponha que o trem que está chegando da direção A tem N <= 1000 vagões numerados sempre em ordem crescente 1,2, ..., N. O primeiro que chega é o 1 e o último que chega é o N. Existe um chefe de reorganizações de trens que quer saber se é possível reorganizar os vagões para que os mesmos saiam na direção B na ordem a1, a2, an..
    
	O  chefe pode utilizar qualquer estratégia para obter a saída desejada. No caso do desenho ilustrado acima, por exemplo, basta o chefe deixar todos os vagões entrarem na estação (do 1 ao 5) e depois retirar um a um: retira o 5, retira o 4, retira o 3, retira o 2 e por último retira o 1.  Desta forma, se o chefe quer saber se a saída 5,4,3,2,1 é possível em B, a resposta seria Yes. Vagão que entra na estação só pode sair para a direção B e é possível incluir quantos forem necessários para retirar o primeiro vagão desejado.";O arquivo de entrada consiste de um bloco de linhas, cada bloco, com exceção do último, descreve um trem e possivelmente mais do que uma requisição de reorganização. Na primeira linha de cada bloco há um inteiro N que é a quantidade de vagões. Em cada uma das próximas linhas de entrada haverá uma permutação dos valores 1,2, …, N. A última linha de cada bloco contém apenas 0. Um bloco iniciando com zero (0) indica o final da entrada.;O arquivo de saída contém a quantidade de linhas correspondente às linhas com permutações no arquivo de entrada. Cada linha de saída deve ser Yes se for possível organizar os vagões da forma solicitada e No, caso contrário. Há também uma linha em branco após cada bloco de entrada. No exemplo abaixo,  O primeiro caso de teste tem 3 permutações para 5 vagões. O ultimo zero dos testes de entrada não devem ser processados.;True;4 / 10;10247;3826;37.34%
1063;Trilhos Novamente... Traçando Movimentos;Estruturas e Bibliotecas;4;"Você lembra daquela estação de trem da cidade PopPush? Apenas para 
relembrar, existe uma estação de trem em um país incrivelmente 
acidentado. Além disso, a estação foi construída no século passado e 
infelizmente os fundos eram muito limitados. Em um determinado trecho 
foi possível construir apenas uma pista e, a solução encontrada para 
transportar as cargas nos dois sentidos foi construir uma estação que 
permitisse desconectar os vagões de uma locomotiva e conectar em outra, 
que iria em outro sentido.

	

	Cada trem que chega na direção A é manobrado e seus vagões continuam na
 direção B, reorganizados conforme o chefe da estação deseja. Ao chegar 
pelo lado A, cada vagão é desconectado e vai até a estação e depois 
segue para a direção B, para ser conectado na segunda 
locomotiva. Você pode desconectar quantos trens deseja na estação, mas o
 vagão que entra na estação só pode sair pelo lado B e uma vez que ele 
sai, não pode mais entrar novamente.
    
	Todos vagões são identificados pelas letras minúsculas (a até z). Isto significa 26 vagões no máximo. O chefe da
 organização dos vagões precisa agora que você ajude a resolver para 
ele, através de um programa, qual a sequência de movimentos é necessária
 para obter a saída desejada após a entrada na estação, seguindo para a 
direção B. O movimento de entrada e saída da estação é descrito respectivamente pelas letras I e R (Insere e Remove). Utilizando a figura dada como exemplo, a 
entrada e,t,d,a para uma saída desejada d,a,t,e, resulta nos movimentos 
I,I,I,R,I,R,R,R";"A entrada consiste em vários casos de teste, onde cada caso de teste é 
composto por 3 linhas. A primeira das 3 linhas contém um número inteiro N
 que representa o número total de vagões. A segunda linha contém a 
sequência dos vagões que vêm do lado A e a Terceira linha contém a 
sequência que o chefe de organização deseja como saída para o lado B. A 
última linha de entrada contém apenas 0, indicando o fim da entrada.";"O arquivo de saída contém a quantidade de linhas correspondente ao 
número de casos de teste de entrada. Cada linha de saída contém uma 
sequência de I e R conforme o exemplo. Se não for possível mostrar a saída, as operações devem ser interrompidas e a mensagem ""Impossible"" deve ser impressa, com um espaço após a sequência.";True;4 / 10;5835;2062;35.34%
1064;Positivos e Média;Iniciante;2;"Leia 6 valores. Em seguida, mostre quantos destes valores digitados
foram positivos. Na próxima linha, deve-se mostrar a média de todos os
valores positivos digitados, com um dígito após o ponto decimal.";A entrada contém 6 números que podem ser valores inteiros ou de ponto flutuante. Pelo menos um destes números será positivo.;"O primeiro valor de saída é a quantidade de valores positivos. A
próxima linha deve mostrar a média dos valores positivos digitados.";False;2 / 10;91988;46327;50.36%
1065;Pares entre Cinco Números;Iniciante;2;Faça um programa que leia 5 valores inteiros. Conte quantos destes valores digitados são pares e mostre esta informação.;O arquivo de entrada contém 5 valores inteiros quaisquer.;Imprima a mensagem conforme o exemplo fornecido, indicando a quantidade de valores pares lidos.;False;2 / 10;63049;43459;68.93%
1066;Pares, Ímpares, Positivos e Negativos;Iniciante;2;"Leia 5 valores Inteiros. A seguir mostre quantos valores digitados 
foram pares, quantos valores digitados foram ímpares, quantos valores 
digitados foram positivos e quantos valores digitados foram negativos.";O arquivo de entrada contém 5 valores inteiros quaisquer.;Imprima a mensagem conforme o exemplo fornecido, uma mensagem por linha, não esquecendo o final de linha após cada uma.;False;2 / 10;79926;44894;56.17%
1067;Números Ímpares;Iniciante;1;Leia um valor inteiro X (1 <= X <= 1000). Em seguida mostre os ímpares de 1 até X, um valor por linha, inclusive o X, se for o caso.;O arquivo de entrada contém 1 valor inteiro qualquer.;Imprima todos os valores ímpares de 1 até X, inclusive X, se for o caso.;False;1 / 10;68948;47326;68.64%
1068;Balanço de Parênteses I;Estruturas e Bibliotecas;5;"Dada uma expressão qualquer com parênteses, indique se a quantidade de parênteses está correta ou não, sem levar em conta o restante da expressão. Por exemplo:
    
	a+(b*c)-2-a        está correto
	(a+b*(2-c)-2+a)*2  está correto
    
	enquanto
    
	(a*b-(2+c)         está incorreto
	2*(3-a))           está incorreto
	)3+b*(2-c)(        está incorreto
    
	Ou seja, todo parênteses que fecha deve ter um outro parênteses que abre correspondente e não pode haver parênteses que fecha sem um previo parenteses que abre e a quantidade total de parenteses que abre e fecha deve ser igual.";Como entrada, haverá N expressões (1 <= N <= 10000), cada uma delas com até 1000 caracteres.;O arquivo de saída deverá ter a quantidade de linhas correspondente ao arquivo de entrada, cada uma delas contendo as palavras correct ou incorrect de acordo com as regras acima fornecidas.;False;5 / 10;26265;9179;34.95%
1069;Diamantes e Areia;Estruturas e Bibliotecas;3;"João está trabalhando em uma mina, tentando retirar o máximo que consegue de diamantes ""<>"". Ele deve excluir todas as particulas de areia ""."" do processo e a cada retirada de diamante, novos diamantes poderão se formar. Se ele tem como uma entrada .<...<<..>>....>....>>>., três diamantes são formados. O primeiro é retirado de <..>, resultando  .<...<>....>....>>>. Em seguida o segundo diamante é retirado, restando .<.......>....>>>. O terceiro diamante é então retirado, restando no final .....>>>., sem possibilidade de extração de novo diamante.";"Deve ser lido um valor inteiro N que representa a quantidade de casos de teste. Cada linha a seguir é um caso de teste que contém até 1000 caracteres, incluindo ""<,>, .""";Você deve imprimir a quantidade de diamantes possíveis de serem extraídos em cada caso de entrada.;False;3 / 10;23490;9100;38.74%
1070;Seis Números Ímpares;Iniciante;1;Leia um valor inteiro X. Em seguida apresente os 6 valores ímpares consecutivos a partir de X, um valor por linha, inclusive o X ser for o caso.;A entrada será um valor inteiro positivo.;A saída será uma sequência de seis números ímpares.;False;1 / 10;56205;42753;76.07%
1071;Soma de Impares Consecutivos I;Iniciante;2;Leia 2 valores inteiros X e Y. A seguir, calcule e mostre a soma dos números impares entre eles.;O arquivo de entrada contém dois valores inteiros.;O programa deve imprimir um valor inteiro. Este valor é a soma dos valores ímpares que estão entre os valores fornecidos na entrada que deverá caber em um inteiro.;False;2 / 10;66988;38717;57.80%
1072;Intervalo 2;Iniciante;1;"Leia um valor inteiro N. Este valor será a quantidade de valores inteiros X que serão lidos em seguida.
	Mostre quantos destes valores X estão dentro do intervalo [10,20] e quantos estão fora do intervalo, mostrando essas informações.";"A primeira linha da entrada contém um valor inteiro N (N < 10000), que indica o número de casos de teste.
	Cada caso de teste a seguir é um valor inteiro X (-107 < X <107).
	 ";Para cada caso, imprima quantos números estão dentro (in) e quantos valores estão fora (out) do intervalo.;False;1 / 10;57850;39814;68.82%
1073;Quadrado de Pares;Iniciante;1;Leia um valor inteiro N. Apresente o quadrado de cada um dos valores pares, de 1 até N, inclusive N, se for o caso.;A entrada contém um valor inteiro N (5 < N < 2000).;"Imprima o quadrado de cada um dos valores pares, de 1 até N, conforme o exemplo abaixo.
                 
				 Tome cuidado! Algumas linguagens tem por padrão apresentarem como saída 1e+006 ao invés de 1000000 o que ocasionará resposta errada. Neste caso, configure a precisão adequadamente para que isso não ocorra.";False;1 / 10;68619;42426;61.83%
1074;Par ou Ímpar;Iniciante;2;Leia um valor inteiro N. Este valor será a quantidade de valores que serão lidos em seguida. Para cada valor lido, mostre uma mensagem em inglês dizendo se este valor lido é par (EVEN), ímpar (ODD), positivo (POSITIVE) ou  negativo (NEGATIVE). No caso do valor ser igual a zero (0), embora a descrição correta seja (EVEN NULL), pois por definição zero é par, seu programa deverá imprimir apenas NULL.;A primeira linha da entrada contém um valor inteiro N(N < 10000) que indica o número de casos de teste. Cada caso de teste a seguir é um valor inteiro X (-107 < X <107).;Para cada caso, imprima uma mensagem correspondente, de acordo com o exemplo abaixo. Todas as letras deverão ser maiúsculas e sempre deverá haver um espaço entre duas palavras impressas na mesma linha.;False;2 / 10;70191;41072;58.51%
1075;Resto 2;Iniciante;2;Leia um valor inteiro N. Apresente todos os números entre 1 e 10000 que divididos por N dão resto igual a 2.;A entrada contém um valor inteiro N (N < 10000).;Imprima todos valores que quando divididos por N dão resto = 2, um por linha.;False;2 / 10;59688;38392;64.32%
1076;Desenhando Labirintos;Grafos;2;"Pedro gosta muito de desenhar labirintos, e teve uma idéia recentemente: quantos movimentos com a caneta ele precisa fazer, no mínimo, para desenhar um labirinto, saindo sempre da mesma posição e finalizando no mesmo ponto? Para a brincadeira ficar interessante, Pedro decidiu que não é permitido levantar a caneta do papel. Os modelos para construção do labirinto são sempre quadrados, ou seja, 3 x 3 , 4 x 4 , 5 x 5 até no máximo de 7 x 7.
                    
                    
                    Para cada exemplo, Pedro vai especificar de onde o desenho deve começar e é tarefa sua determinar a quantidade de movimentos necessários para desenhar o labirindo como Pedro deseja. Pedro ainda lembra que você não precisa se preocupar com ciclos, pois não haverá nenhum ciclo em nenhum dos casos de teste. Se existir uma entrada 4 1, isso não impede a existência de outra entrada 1 4 no mesmo caso de teste, ou seja, outra linha ligando estes mesmos dois nodos. De qualquer forma isto não fará diferença no desenho do labirinto, pois se Pedro traçar as duas linhas entre 1 e 4 ou apenas uma delas, a quantidade de movimentos deverá ser a mesma. Somente neste caso, a utilização da segunda linha por Pedro é opcional.
                    
                    
                    Veja os exemplos abaixo, No labirinto A (4 x 4), Pedro deseja sair do nodo 0, desenhar todas as linhas e retornar ao nodo 0. Para isso, o mínimo de movimentos possíveis é 30. No labirinto B (3 x 3), Pedro deseja sair do nodo 1, desenhar  todas as linhas e retornar para o nodo 1. Neste caso, ele precisa de 10 movimentos para fazer este desenho.";A primeira linha de entrada é um inteiro T (T < 100) que indica o número total de casos de teste. Cada caso inicia com uma linha contendo um inteiro N (N < X2, onde X é a largura em nodos do labirinto, que pode variar de 3 até 7). Este N é o ponto (nodo) no qual o desenho deve ser iniciado e também é onde o desenho deve ser terminado. Na próxima linha há duas informações V e A que são respectivamente a quantidade de vértices e arestas do desenho. Uma quantidade A de linhas vem a seguir, cada uma descrevendo um segmento de linha que Pedro tem disponível para para desenhar o labirinto desejado.;O arquivo de saída contém um valor para cada caso de teste de entrada. Este valor é a quantidade de movimentos de caneta que devem ser feitos para desenhar o labirinto do caso de teste, considerando que o início e o fim são sempre a partir do mesmo ponto (nodo) e que não é possível levantar a caneta do papel.;True;2 / 10;4971;2562;51.54%
1077;Infixa para Posfixa;Estruturas e Bibliotecas;5;"O Professor solicitou que você escreva um programa que converta uma expressão na forma infixa (como usualmente conhecemos) para uma expressão na forma posfixa. Como você sabe, os termos in (no meio) e pos (depois) se referem à posição dos operadores. O programa terá que lidar somente com operadores binários +,-,*,/,^, parênteses, letras e números. Um exemplo seria uma expressão como:
                    (A*B+2*C^3)/2*A. O programa deve converter esta expressão (infixa) para a expressão posfixa: AB*2C3^*+2/A*
                     ";A primeira linha da entrada contém um valor inteiro N (N < 1000), que indica o número de casos de teste. Cada caso de teste a seguir é uma expressão válida na forma infixa, com até 300 caracteres.;Para cada caso, apresente a expressão convertida para a forma posfixa.;False;5 / 10;5433;1980;36.44%
1078;Tabuada;Iniciante;2;"Leia 1 valor inteiro N (2 < N < 1000). A seguir, mostre a tabuada de N:      
                    1 x N = N      2 x N = 2N        ...       10 x N = 10N";A entrada contém um valor inteiro N (2 < N < 1000).;Imprima a tabuada de N, conforme o exemplo fornecido.;False;2 / 10;79988;48590;60.75%
1079;Médias Ponderadas;Iniciante;2;"Leia 1 valor inteiro N, que representa o número de casos de teste que 
                    vem a seguir. Cada caso de teste consiste de 3 valores reais, cada um 
                    deles com uma casa decimal. Apresente a média ponderada para cada um 
                    destes conjuntos de 3 valores, sendo que o primeiro valor tem peso 2, o 
                    segundo valor tem peso 3 e o terceiro valor tem peso 5.";O arquivo de entrada contém um valor inteiro N na primeira linha. Cada N linha a seguir contém um caso de teste com três valores com uma casa decimal cada valor.;Para cada caso de teste, imprima a média ponderada dos 3 valores, conforme exemplo abaixo.;False;2 / 10;53351;34664;64.97%
1080;Maior e Posição;Iniciante;3;Leia 100 valores inteiros. Apresente então o maior valor lido e a posição dentre os 100 valores lidos.;O arquivo de entrada contém 100 números inteiros, positivos e distintos.;Apresente o maior valor lido e a posição de entrada, conforme exemplo abaixo.;False;3 / 10;82267;39509;48.03%
1081;DFSr - Hierarquia de Profundidade;Grafos;5;A rotina PathR é bem conhecida em grafos. É também chamada de dfs ou dfsr. Trata-se de uma busca em profundidade dos nodos do grafo, utilizando backtracking. A tarefa aqui é, dado o grafo de entrada, simplesmente gerar o desenho da hierarquia dos nodos pesquisados. Para isso, é apresentada a rotina PathR abaixo, como apoio.;A entrada será um arquivo contendo vários casos de teste. A primeira linha do arquivo de entrada contém um inteiro N que indica a quantidade de casos de teste que vem a seguir. Cada um dos N casos de teste contém, na primeira linha, duas informações: V  (1 ≤ V ≤ 20) e E (1 ≤ E ≤ 20) que são, respectivamente, a quantidade de Vértices e de Arestas (Edges) do grafo. Seguem  E linhas contendo informações sobre cada uma das arestas do grafo.;"Para cada caso de entrada, deve ser apresentada uma saída que representa a busca em profundidade de todos os nodos,  respeitando a hierarquia e profundidade de cada um deles. O símbolo b  representam um espaço em branco. Veja o exemplo abaixo para ilustrar:
                    bb0-2 pathR(G,2)
                    bbbb2-1 pathR(G,1)
                    bbbb2-4 pathR(G,4)
                    bbbbbb4-1
                    
                    E assim sucessivamente...
                    Obs.: Há uma linha em branco depois de cada segmento impresso do grafo, inclusive após o último segmento.";True;5 / 10;5572;1790;32.12%
1082;Componentes Conexos;Grafos;4;"Com base nestas três definições:
                    
                        Grafo conexo: Um grafo G(V,A) é conexo se para cada par de nodos u e v existe um caminho entre u e v. Um grafo com apenas um componente é um grafo conexo.
                    
                        Grafo desconexo: Um grafo G(V,A) é desconexo se ele for formado por 2 ou mais componentes conexos.
                    
                        Componente conexo: Componentes conexos de um grafo são os subgrafos conexos deste grafo.
                    
                        O grafo a seguir possui 3 componentes conexos. O primeiro é formado pelos nodos a,b,c. O segundo é formado unicamente pelo nodo d e o terceiro componente é formado pelos nodos e,f.
                
                    
                
                    Com base nestes conceitos, onde cada entrada fornecida que tem a identificação de cada um dos vértices, arestas e as ligações entre os vértices através destas arestas,  liste cada um dos componentes conexos que existem no grafo, segundo a entrada fornecida.";"A primeira linha do arquivo de entrada contém um valor inteiro N que representa a 
                    quantidade de casos de teste que vem a seguir. Cada caso de teste contém dois valores 
                    V e E que são, respectivamente, a quantidade 
                    de Vértices e arestas (Edges) do grafo. Seguem E linhas na sequência, 
                    cada uma delas representando uma das arestas que ligam tais vértices. 
                    Cada vértice é representado por uma letra minúscula do alfabeto ('a'-'z'), ou seja, 
                    cada grafo pode ter no máximo 26 vértices. Cada grafo tem no mínimo 1 componente conexo.
                    
                        Obs: Os vértices de cada caso de teste sempre iniciam no 'a'. Isso significa que um caso de teste que tem 3 vértices, 
                    tem obrigatoriamente os vértices 'a', 'b' e 'c'.";"Para cada caso de teste da entrada, deve ser apresentada uma mensagem Case #n:, onde n indica o número do caso de teste (conforme exemplo abaixo). Segue a listagem dos vértices de cada segmento, um segmento por linha, separados por vírgula (inclusive com uma virgula no final da linha). Finalizando o caso de teste, deve ser apresentada uma mensagem indicando a quantidade de componentes conexos do grafo (em inglês). Todo caso de teste deve ter uma linha em branco no final, inclusive o último caso de teste.
                
                    Obs: os nodos devem sempre ser apresentados em ordem crescente e se há caminho de a até b significa que há caminho de b até a.";True;4 / 10;7641;2610;34.16%
1083;LEXSIM - Avaliador Lexico e Sintático;Estruturas e Bibliotecas;7;Uma das formas mais interessantes do uso de pilhas é a na avaliação de uma expressão matemática. Pode-se, através da pilha, fazer a análise léxica de uma expressão (indicar se uma expressão possui um operando inválido, como por exemplo um símbolo qualquer que não está presente nem na tabela de operadores, nem na tabela de operandos) e também a análise sintática. A análise sintática pode indicar que está faltando um ou mais parênteses, sobrando um ou mais parênteses, sobrando operador, 2 operandos sucessivos, etc. A tarefa aqui é determinar se uma expressão está correta ou não.;"Como entrada, são válidos:
                    a) Operandos: todas as letras maiúsculas ou minúsculas ('a'..'z', 'A'..'Z') e números (0...9).
                    b) Parênteses.
                    c) Operadores: deverão ser aceitos os seguintes operadores segundo a tabela de prioridades  apresentada abaixo:
                

                
                    
                        Operador
                        Prioridade
                    
                    
                        
                            ^
                            6
                        
                        
                            *,/
                            5
                        
                        
                            +,-
                            4
                        
                        
                            >,<,=,#,
                            3
                        
                        
                            AND ( . )
                            2
                        
                        
                            OR ( | )
                            1
                        
                    
                

                Para facilitar a implementação, será utilizado um ponto para representar o AND (.) e o Pipe ( | ) para representar o OR.

                Obs.: Como restrição, não será permitida a entrada de expressões com operadores unários, como por e exemplo o '-' de: 4 * -2

                A finalização da entrada será determinada pelo final do arquivo de entrada EOF().";"Como saída, para cada expressão de entrada deverá ser gerado uma linha indicando o resultado do processamento. Se a expressão estiver correta, esta deverá ser transformada para a forma posfixa. Se não for possível, deverá ser impressa a mensagem ""Lexical Error!"" indicando erro léxico ou ""Syntax Error!"" indicando o erro de sintaxe, nesta ordem.";False;7 / 10;1544;391;25.32%
1084;Apagando e Ganhando;Paradigmas;6;"Juliano é fã do programa de auditório Apagando e Ganhando, um programa no qual os participantes são selecionados através de um sorteio e recebem prêmios em dinheiro por participarem.
                    No programa, o apresentador escreve um número de N dígitos em uma lousa. O participante então deve apagar exatamente D dígitos do número que está na lousa; o número formado pelos dígitos que restaram é então o prêmio do participante.
                    Juliano finalmente foi selecionado para participar do programa, e pediu que você escrevesse um programa que, dados o número que o apresentador escreveu na lousa, e quantos dígitos Juliano tem que apagar, determina o valor do maior prêmio que Juliano pode ganhar.";"A entrada contém vários casos de teste. A primeira linha de cada caso de teste contém dois inteiros N e D (1 ≤ D < N ≤ 105), indicando a quantidade de dígitos do número que o apresentador escreveu na lousa e quantos dígitos devem ser apagados. A linha seguinte contém o número escrito pelo apresentador, que não contém zeros à esquerda.
                    O final da entrada é indicado por uma linha que contém apenas dois zeros, separados por um espaço em branco.";Para cada caso de teste da entrada seu programa deve imprimir uma única linha na saída, contendo o maior prêmio que Juliano pode ganhar.;False;6 / 10;9997;2067;20.68%
1085;Babel;Grafos;7;"Joãozinho e Mariazinha são dois irmãos que estão muito empolgados com suas aulas de idiomas, cada um está fazendo vários diferentes cursinhos. Ao chegar em casa comentam sobre gramática, vocabulário, cultura dos países etc. Numa dessas conversas perceberam que algumas palavras são comuns a mais de um idioma, mesmo que não necessariamente tenham o mesmo significado. Por exemplo, “amigo” existe em português e espanhol e tem o mesmo significado, enquanto que “date” é uma palavra comum entre francês e inglês mas que pode ter significados diferentes, uma vez que “date” também se refere a um encontro em inglês, além de “data” de calendário. Já “red” em espanhol se refere a uma rede, enquanto que em inglês se refere à cor vermelha. Outro exemplo seria “actual” que, em inglês significa algo real e, em espanhol, tem o significado de presente, atual (como em português).
                    
                    Empolgados com essas descobertas, resolveram escrever num caderno todas as palavras em comum que conseguiram pensar, associando cada uma a um par de idiomas. Observador como é, Joãozinho propˆos um desafio a Mariazinha: dados um idioma de origem e um de destino, escrever uma série de palavras sendo que a primeira necessariamente deveria pertencer ao idioma de origem e a última ao de destino. Duas palavras adjacentes nessa seqüência deveriam necessariamente pertencer a um mesmo idioma. Por exemplo, se o idioma de origem fosse português e o de destino francês, Mariazinha poderia escrever a seqüência amigo actual date (português/espanhol, espanhol/inglês, inglês/francês).
                    Para a surpresa de Joãozinho, Mariazinha conseguiu resolver o problema com muita facilidade. Irritado com o sucesso de sua irmã, ele resolveu complicar ainda mais o problema com duas restrições: Mariazinha deve encontrar a solução que tenha o menor comprimento da seqüência total não contando os espaços entre as palavras e duas palavras consecutivas não podem ter a mesma letra inicial.
                    Sendo assim, a solução anterior passa a ser inválida, pois “amigo” e “actual” têm a mesma letra inicial. é possível, porém, encontrar outra solução, que no caso seria amigo red date, cujo comprimento total é 12. Joãozinho fez uma extensa pesquisa na internet e compilou uma enorme lista de palavras e desafiou Mariazinha a resolver o problema. Como é possível que haja mais de uma solução, ele pediu para que ela apenas respondesse o comprimento da seqüência encontrada dadas as restrições ou se não há solução possível. Você seria capaz de ajudar Mariazinha?";"A entrada contém vários casos de teste. A primeira linha de um caso de teste contém um inteiro M (1 ≤ M ≤ 2000), representando o total de palavras compiladas por Joãozinho. A segunda linha contém duas cadeias de caracteres distintas O e D, separadas por um espaço em branco, indicando os idiomas de origem e destino respectivamente. Cada uma das M linhas seguintes contém três cadeias de caracteres I1, I2 e P, separadas por um espaço em branco, representando dois idiomas e uma palavra comum entre ambos (I1 e I2 são sempre diferentes). Todas as cadeias de caracteres terão tamanho mínimo 1 e máximo 50 e conterão apenas letras minúsculas. Um mesmo par de idiomas pode ter várias palavras diferentes associadas a ele, porém uma mesma palavra P nunca será repetida.
                    O final da entrada é indicado por uma linha que contém apenas um zero.";Para cada caso de teste da entrada seu programa deve imprimir um único inteiro, o comprimento da menor seqüência que satisfaça as restrições de Joãozinho, ou impossivel (em minúsculas, sem acento) caso não seja possível.;False;7 / 10;1949;585;30.02%
1086;O Salão do Clube;Ad-Hoc;8;"O Clube Recreativo de Tinguá está construindo a sua nova sede social. Os sócios desejam que o piso do salão da sede seja de tábuas de madeira, pois consideram que este é o melhor tipo de piso para os famosos bailes do clube. Uma madeireira da região doou uma grande quantidade de tábuas de boa qualidade, para serem utilizadas no piso. As tábuas doadas têm todas a mesma largura, mas têm comprimentos distintos.

	O piso do salão da sede social é retangular. As tábuas devem ser colocadas justapostas, sem que qualquer parte de uma tábua seja sobreposta a outra tábua, e devem cobrir todo o piso do salão. Elas devem ser dispostas alinhadas, no sentido longitudinal, e todas devem estar no mesmo sentido (ou seja, todas as tábuas devem estar paralelas, no sentido longitudinal). Além disso, os sócios não querem muitas emendas no piso, e portanto se uma tábua não é longa o bastante para cobrir a distãncia entre um lado e outro do salão, ela pode ser emendada a no máximo uma outra tábua para completar a distância.

	Há porém uma complicação adicional. O carpinteiro-chefe tem um grande respeito por todas as madeiras e prefere não serrar qualquer tábua. Assim, ele deseja saber se é possível forrar todo o piso com as tábuas doadas, obedecendo às restrições especificadas; caso seja possível, o carpinteiro-chefe deseja ainda saber o menor número de tábuas que será necessário utilizar. A figura abaixo ilustra duas possíveis maneiras de forrar o piso de um salão com dimensões 4 × 5 metros para um conjunto de dez tábuas doadas, com 100 cm de largura, e comprimentos 1, 2, 2, 2, 2, 3, 3, 4, 4 e 5 metros.";"A entrada contém vários casos de teste. A primeira linha de um caso de teste contém dois inteiros M e N indicando as dimensões, em metros, do salão (1 ≤ N,M ≤ 104). A segunda linha contém um inteiro L, representando a largura das tábuas, em centímetros(1 ≤ L ≤ 100). A terceira linha contém um inteiro, K, indicando o número de tábuas doadas (1 ≤ K ≤ 105). A quarta linha contém K inteiros Xi, separados por um espaço, cada um representando o comprimento, em metros, de uma tábua (1 ≤ Xi ≤ 104 para 1 ≤ i ≤ K). O final da entrada é indicado por uma linha que contém apenas dois zeros, separados por um espaço em branco.
	 ";"Para cada um dos casos de teste da entrada, seu programa deve imprimir uma única linha, contendo o menor número de tábuas necessário para cobrir todo o piso do salão, obedecendo às restrições estabelecidas. Caso não seja possível cobrir todo o piso do salão obedecendo às restrições estabelecidas, imprima uma linha com a palavra ‘impossivel’ (letras minúsculas, sem acento).
	 ";True;8 / 10;3635;886;24.37%
1087;Dama;Ad-Hoc;4;"O jogo de xadrez possui várias peças com movimentos curiosos: uma delas é a dama, que pode se mover qualquer quantidade de casas na mesma linha, na mesma coluna, ou em uma das duas diagonais, conforme exemplifica a figura abaixo:

	


	O grande mestre de xadrez Kary Gasparov inventou um novo tipo de problema de xadrez: dada a posição de uma dama em um tabuleiro de xadrez vazio (ou seja, um tabuleiro 8 × 8, com 64 casas), de quantos movimentos, no mínimo, ela precisa para chegar em outra casa do tabuleiro?

	Kary achou a solução para alguns desses problemas, mas teve dificuldade com outros, e por isso pediu que você escrevesse um programa que resolve esse tipo de problema.
	 ";"A entrada contém vários casos de teste. A primeira e única linha de cada caso de teste contém quatro inteiros X1, Y1, X2 e Y2 (1 ≤ X1, Y1, X2, Y2 ≤ 8). A dama começa na casa de coordenadas (X1, Y1), e a casa de destino é a casa de coordenadas(X2, Y2). No tabuleiro, as colunas são numeradas da esquerda para a direita de 1 a 8 e as linhas de cima para baixo também de 1 a 8. As coordenadas de uma casa na linha X e coluna Y são (X, Y ).

	O final da entrada é indicado por uma linha contendo quatro zeros.";Para cada caso de teste da entrada seu programa deve imprimir uma única linha na saída, contendo um número inteiro, indicando o menor número de movimentos necessários para a dama chegar em sua casa de destino.;True;4 / 10;26911;10781;40.06%
1088;Bolhas e Baldes;Estruturas e Bibliotecas;7;"Andrea, Carlos e Marcelo são muito amigos e passam todos os finais de semana à beira da piscina. Enquanto Andrea se bronzeia ao sol, os dois ficam jogando Bolhas. Andrea, uma cientista da computação muito esperta, já disse a eles que não entende por que passam tanto tempo jogando um jogo tão primário.
                
                
                    Usando o computador portátil dela, os dois geram um inteiro aleatório N e uma seqüência de inteiros, também aleatória, que é uma permutação de 1, 2, . . . ,N.
                
                
                    O jogo então começa, cada jogador faz um movimento, e a jogada passa para o outro jogador. Marcelo é sempre o primeiro a começar a jogar. Um movimento de um jogador consiste na escolha de um par de elementos consecutivos da seqüência que estejam fora de ordem e em inverter a ordem dos dois elementos. Por exemplo, dada a seqüência 1, 5, 3, 4, 2, o jogador pode inverter as posições de 5 e 3 ou de 4 e 2, mas não pode inverter as posições de 3 e 4, nem de 5 e 2. Continuando com o exemplo, se o jogador decide inverter as posições de 5 e 3 então a nova seqüência será 1, 3, 5, 4, 2.
                
                
                    Mais cedo ou mais tarde, a seqüência ficará ordenada. Perde o jogador impossibilitado de fazer um movimento. Andrea, com algum desdém, sempre diz que seria mais simples jogar cara ou coroa, com o mesmo efeito. Sua missão, caso decida aceitá-la, é determinar quem ganha o jogo, dada a seqüência inicial.";"A entrada contém vários casos de teste. Os dados de cada caso de teste estão numa única linha, e são inteiros separados por um espaço em branco. Cada linha contém um inteiroN (2 ≤ N ≤ 105), seguido da seqüência inicial P = (X1, X2, ...,XN) de N inteiros distintos dois a dois, onde1 ≤ Xi ≤ N para 1 ≤ i ≤ N.
                
                    O final da entrada é indicado por uma linha que contém apenas o número zero.";Para cada caso de teste da entrada seu programa deve imprimir uma única linha, com o nome do vencedor, igual a Carlos ou Marcelo., sem espaços em branco.;False;7 / 10;9347;2683;28.70%
